img_name,true_label,pred_label,noisy_label,pro
7/img19473.png,7,7,5,2.2363612350861928e-10
9/img41403.png,9,9,1,2.538988752576188e-08
1/img33564.png,1,1,1,0.9999929666519165
0/img31594.png,0,0,0,0.9999523162841797
8/img49298.png,8,8,8,0.9999971389770508
8/img18074.png,8,8,8,0.9999983310699463
9/img36016.png,9,9,9,0.9999942779541016
4/img46793.png,4,4,4,0.9999988079071045
7/img10595.png,7,7,4,1.0368126822868362e-05
8/img15648.png,8,8,9,5.423843152385643e-09
4/img31052.png,4,4,6,2.8113973371546308e-08
2/img15867.png,2,0,2,1.0422264494991396e-05
3/img28389.png,3,3,3,1.0
2/img55855.png,2,2,7,1.0353575817134697e-05
6/img56388.png,6,6,7,6.240460947992688e-08
6/img41931.png,6,3,8,4.926566816720879e-07
9/img12761.png,9,9,9,0.9999843835830688
8/img49263.png,8,8,8,0.9999885559082031
9/img10109.png,9,9,4,6.112919095357938e-07
7/img31735.png,7,7,8,0.00028613858739845455
8/img50738.png,8,8,8,0.9999984502792358
5/img45821.png,5,5,5,1.0
8/img10880.png,8,8,8,0.9998488426208496
7/img38710.png,7,4,4,0.9999959468841553
1/img41251.png,1,1,1,0.9999357461929321
5/img55481.png,5,4,8,2.634494194353465e-06
6/img26539.png,6,6,6,0.9999980926513672
2/img59678.png,2,2,4,0.0001548920845380053
3/img28186.png,3,3,3,0.9999992847442627
2/img13164.png,2,2,1,3.948534504161216e-05
5/img54581.png,5,7,0,7.964812311911373e-07
8/img16995.png,8,8,8,0.9999983310699463
1/img13399.png,1,1,1,0.9999591112136841
1/img32499.png,1,1,5,2.801090488446789e-07
1/img29457.png,1,1,8,2.5167335593323514e-07
6/img10619.png,6,6,6,0.9997772574424744
6/img34145.png,6,6,6,0.9999780654907227
1/img18884.png,1,1,1,0.9999988079071045
0/img42033.png,0,0,0,0.9999998807907104
9/img57084.png,9,7,1,3.590759661165066e-06
0/img23915.png,0,0,0,0.9999990463256836
7/img42241.png,7,7,7,1.0
1/img57670.png,1,1,1,0.9981387853622437
6/img45745.png,6,6,6,0.9999997615814209
0/img17377.png,0,7,6,0.00012267401325516403
3/img11057.png,3,2,3,0.07028353959321976
